model,seed,bits,granularity,exception,ppl_ref,ppl_quant,delta_ppl,delta_nll,nll_all,nll_sink,nll_non_sink,n_sink_cols,n_total_cols,n_exempt_positions,corpus_sha256,holdout_sha,source
gated_1b_baseline,4,8,per_tensor,none,14.70770960215786,34.21280228893439,19.50509268677653,0.844228090922091,3.532599909956098,,3.532599909956098,0,255,0,,,gated_1b_baseline_b8_per_tensor_none_calib4.json
gated_1b_baseline,0,8,per_tensor,position_0,14.70770960215786,17.130214126618238,2.4225045244603773,0.15247199331836425,2.840843812352371,,2.840843812352371,0,255,1,,,gated_1b_baseline_b8_per_tensor_position_0_calib0.json
gated_1b_baseline,1,8,per_tensor,position_0,14.70770960215786,17.130312733223693,2.4226031310658325,0.15247774959910432,2.840849568633111,,2.840849568633111,0,255,1,,,gated_1b_baseline_b8_per_tensor_position_0_calib1.json
gated_1b_baseline,2,8,per_tensor,position_0,14.70770960215786,17.41030197841632,2.70259237625846,0.16869027970860806,2.857062098742615,,2.857062098742615,0,255,1,,,gated_1b_baseline_b8_per_tensor_position_0_calib2.json
gated_1b_baseline,3,8,per_tensor,position_0,14.70770960215786,16.949797811607244,2.242088209449383,0.14188408620256032,2.8302559052365672,,2.8302559052365672,0,255,1,,,gated_1b_baseline_b8_per_tensor_position_0_calib3.json
gated_1b_baseline,4,8,per_tensor,position_0,14.70770960215786,17.186842357053763,2.479132754895902,0.15577229279841465,2.8441441118324216,,2.8441441118324216,0,255,1,,,gated_1b_baseline_b8_per_tensor_position_0_calib4.json
gated_1b_baseline,0,8,per_token,none,14.70770960215786,15.346816129234277,0.6391065270764162,0.04253621519412398,2.730908034228131,,2.730908034228131,0,255,0,,,gated_1b_baseline_b8_per_token_none_calib0.json
gated_1b_baseline,1,8,per_token,none,14.70770960215786,15.346816129234277,0.6391065270764162,0.04253621519412398,2.730908034228131,,2.730908034228131,0,255,0,,,gated_1b_baseline_b8_per_token_none_calib1.json
gated_1b_baseline,2,8,per_token,none,14.70770960215786,15.346816129234277,0.6391065270764162,0.04253621519412398,2.730908034228131,,2.730908034228131,0,255,0,,,gated_1b_baseline_b8_per_token_none_calib2.json
gated_1b_baseline,3,8,per_token,none,14.70770960215786,15.346816129234277,0.6391065270764162,0.04253621519412398,2.730908034228131,,2.730908034228131,0,255,0,,,gated_1b_baseline_b8_per_token_none_calib3.json
gated_1b_baseline,4,8,per_token,none,14.70770960215786,15.346816129234277,0.6391065270764162,0.04253621519412398,2.730908034228131,,2.730908034228131,0,255,0,,,gated_1b_baseline_b8_per_token_none_calib4.json
gated_1b_baseline,0,8,per_token,position_0,14.70770960215786,15.03831760407222,0.33060800191436,0.022229631799361993,2.710601450833369,,2.710601450833369,0,255,1,,,gated_1b_baseline_b8_per_token_position_0_calib0.json
gated_1b_baseline,1,8,per_token,position_0,14.70770960215786,15.03831760407222,0.33060800191436,0.022229631799361993,2.710601450833369,,2.710601450833369,0,255,1,,,gated_1b_baseline_b8_per_token_position_0_calib1.json
gated_1b_baseline,2,8,per_token,position_0,14.70770960215786,15.03831760407222,0.33060800191436,0.022229631799361993,2.710601450833369,,2.710601450833369,0,255,1,,,gated_1b_baseline_b8_per_token_position_0_calib2.json
gated_1b_baseline,3,8,per_token,position_0,14.70770960215786,15.03831760407222,0.33060800191436,0.022229631799361993,2.710601450833369,,2.710601450833369,0,255,1,,,gated_1b_baseline_b8_per_token_position_0_calib3.json
gated_1b_baseline,4,8,per_token,position_0,14.70770960215786,15.03831760407222,0.33060800191436,0.022229631799361993,2.710601450833369,,2.710601450833369,0,255,1,,,gated_1b_baseline_b8_per_token_position_0_calib4.json
gated_1b_elementwise,0,4,per_tensor,none,14.47735645757423,433341.0001414307,433326.52278497315,10.30669442103533,12.979280226241213,,12.979280226241213,0,255,0,,,gated_1b_elementwise_b4_per_tensor_none_calib0.json
gated_1b_elementwise,1,4,per_tensor,none,14.47735645757423,769549.3501644449,769534.8728079873,10.880974557766079,13.553560362971963,,13.553560362971963,0,255,0,,,gated_1b_elementwise_b4_per_tensor_none_calib1.json
gated_1b_elementwise,2,4,per_tensor,none,14.47735645757423,1853660.8634735988,1853646.3861171412,11.760087281634593,14.432673086840477,,14.432673086840477,0,255,0,,,gated_1b_elementwise_b4_per_tensor_none_calib2.json
gated_1b_elementwise,3,4,per_tensor,none,14.47735645757423,1983219.3078968355,1983204.8305403779,11.82764619017838,14.500231995384263,,14.500231995384263,0,255,0,,,gated_1b_elementwise_b4_per_tensor_none_calib3.json
gated_1b_elementwise,4,4,per_tensor,none,14.47735645757423,593305.7736020419,593291.2962455843,10.620879378330164,13.293465183536048,,13.293465183536048,0,255,0,,,gated_1b_elementwise_b4_per_tensor_none_calib4.json
gated_1b_elementwise,0,4,per_tensor,position_0,14.47735645757423,121034.42376413653,121019.94640767896,9.031244472830757,11.70383027803664,,11.70383027803664,0,255,1,,,gated_1b_elementwise_b4_per_tensor_position_0_calib0.json
gated_1b_elementwise,1,4,per_tensor,position_0,14.47735645757423,132006.87584392415,131992.39848746656,9.1180234847327,11.790609289938583,,11.790609289938583,0,255,1,,,gated_1b_elementwise_b4_per_tensor_position_0_calib1.json
gated_1b_elementwise,2,4,per_tensor,position_0,14.47735645757423,238762.26543180682,238747.78807534924,9.710637825353881,12.383223630559765,,12.383223630559765,0,255,1,,,gated_1b_elementwise_b4_per_tensor_position_0_calib2.json
gated_1b_elementwise,3,4,per_tensor,position_0,14.47735645757423,165586.0743994346,165571.59704297702,9.344660620400646,12.01724642560653,,12.01724642560653,0,255,1,,,gated_1b_elementwise_b4_per_tensor_position_0_calib3.json
gated_1b_elementwise,4,4,per_tensor,position_0,14.47735645757423,133455.6908793773,133441.21352291972,9.128938992999128,11.801524798205012,,11.801524798205012,0,255,1,,,gated_1b_elementwise_b4_per_tensor_position_0_calib4.json
gated_1b_elementwise,0,4,per_token,none,14.47735645757423,18511.687796443806,18497.210439986233,7.15357177915687,9.826157584362754,,9.826157584362754,0,255,0,,,gated_1b_elementwise_b4_per_token_none_calib0.json
gated_1b_elementwise,1,4,per_token,none,14.47735645757423,18511.687796443806,18497.210439986233,7.15357177915687,9.826157584362754,,9.826157584362754,0,255,0,,,gated_1b_elementwise_b4_per_token_none_calib1.json
gated_1b_elementwise,2,4,per_token,none,14.47735645757423,18511.687796443806,18497.210439986233,7.15357177915687,9.826157584362754,,9.826157584362754,0,255,0,,,gated_1b_elementwise_b4_per_token_none_calib2.json
gated_1b_elementwise,3,4,per_token,none,14.47735645757423,18511.687796443806,18497.210439986233,7.15357177915687,9.826157584362754,,9.826157584362754,0,255,0,,,gated_1b_elementwise_b4_per_token_none_calib3.json
gated_1b_elementwise,4,4,per_token,none,14.47735645757423,18511.687796443806,18497.210439986233,7.15357177915687,9.826157584362754,,9.826157584362754,0,255,0,,,gated_1b_elementwise_b4_per_token_none_calib4.json
gated_1b_elementwise,0,4,per_token,position_0,14.47735645757423,18396.90389099998,18382.426534542406,7.1473518574392685,9.819937662645152,,9.819937662645152,0,255,1,,,gated_1b_elementwise_b4_per_token_position_0_calib0.json
gated_1b_elementwise,1,4,per_token,position_0,14.47735645757423,18396.90389099998,18382.426534542406,7.1473518574392685,9.819937662645152,,9.819937662645152,0,255,1,,,gated_1b_elementwise_b4_per_token_position_0_calib1.json
gated_1b_elementwise,2,4,per_token,position_0,14.47735645757423,18396.90389099998,18382.426534542406,7.1473518574392685,9.819937662645152,,9.819937662645152,0,255,1,,,gated_1b_elementwise_b4_per_token_position_0_calib2.json
gated_1b_elementwise,3,4,per_token,position_0,14.47735645757423,18396.90389099998,18382.426534542406,7.1473518574392685,9.819937662645152,,9.819937662645152,0,255,1,,,gated_1b_elementwise_b4_per_token_position_0_calib3.json
gated_1b_elementwise,4,4,per_token,position_0,14.47735645757423,18396.90389099998,18382.426534542406,7.1473518574392685,9.819937662645152,,9.819937662645152,0,255,1,,,gated_1b_elementwise_b4_per_token_position_0_calib4.json
gated_1b_elementwise,0,8,per_tensor,none,14.47735645757423,3721.855693603563,3707.3783371459886,5.549391860047367,8.22197766525325,,8.22197766525325,0,255,0,,,gated_1b_elementwise_b8_per_tensor_none_calib0.json
